"id","loan_status"
"58645","1"
"58646","0"
"58647","1"
"58648","0"
"58649","1"
"58650","1"
"58651","0"
"58652","0"
"58653","1"
"58654","0"
"58655","0"
"58656","0"
"58657","0"
"58658","0"
"58659","0"
"58660","0"
"58661","0"
"58662","0"
"58663","0"
"58664","0"
"58665","0"
"58666","0"
"58667","0"
"58668","0"
"58669","0"
"58670","0"
"58671","0"
"58672","0"
"58673","1"
"58674","0"
"58675","0"
"58676","0"
"58677","0"
"58678","0"
"58679","1"
"58680","1"
"58681","1"
"58682","0"
"58683","0"
"58684","0"
"58685","0"
"58686","0"
"58687","1"
"58688","1"
"58689","1"
"58690","0"
"58691","0"
"58692","0"
"58693","0"
"58694","0"
"58695","1"
"58696","0"
"58697","0"
"58698","0"
"58699","0"
"58700","0"
"58701","0"
"58702","0"
"58703","0"
"58704","0"
"58705","0"
"58706","0"
"58707","0"
"58708","0"
"58709","1"
"58710","0"
"58711","1"
"58712","0"
"58713","0"
"58714","0"
"58715","0"
"58716","0"
"58717","0"
"58718","1"
"58719","0"
"58720","0"
"58721","0"
"58722","1"
"58723","0"
"58724","0"
"58725","0"
"58726","0"
"58727","1"
"58728","0"
"58729","0"
"58730","0"
"58731","0"
"58732","0"
"58733","0"
"58734","0"
"58735","0"
"58736","0"
"58737","0"
"58738","1"
"58739","1"
"58740","1"
"58741","0"
"58742","0"
"58743","0"
"58744","0"
"58745","0"
"58746","0"
"58747","0"
"58748","0"
"58749","0"
"58750","0"
"58751","0"
"58752","1"
"58753","0"
"58754","0"
"58755","0"
"58756","0"
"58757","0"
"58758","0"
"58759","0"
"58760","0"
"58761","0"
"58762","0"
"58763","1"
"58764","0"
"58765","0"
"58766","0"
"58767","0"
"58768","1"
"58769","0"
"58770","0"
"58771","0"
"58772","0"
"58773","0"
"58774","0"
"58775","1"
"58776","1"
"58777","0"
"58778","0"
"58779","0"
"58780","0"
"58781","0"
"58782","0"
"58783","0"
"58784","0"
"58785","0"
"58786","0"
"58787","0"
"58788","0"
"58789","0"
"58790","0"
"58791","0"
"58792","0"
"58793","0"
"58794","0"
"58795","0"
"58796","0"
"58797","0"
"58798","0"
"58799","1"
"58800","0"
"58801","0"
"58802","1"
"58803","0"
"58804","1"
"58805","1"
"58806","0"
"58807","0"
"58808","0"
"58809","1"
"58810","1"
"58811","0"
"58812","0"
"58813","0"
"58814","0"
"58815","0"
"58816","0"
"58817","0"
"58818","0"
"58819","0"
"58820","0"
"58821","0"
"58822","0"
"58823","0"
"58824","0"
"58825","0"
"58826","1"
"58827","0"
"58828","0"
"58829","0"
"58830","0"
"58831","0"
"58832","0"
"58833","0"
"58834","0"
"58835","1"
"58836","0"
"58837","0"
"58838","0"
"58839","0"
"58840","0"
"58841","1"
"58842","0"
"58843","0"
"58844","0"
"58845","0"
"58846","0"
"58847","1"
"58848","0"
"58849","1"
"58850","0"
"58851","0"
"58852","1"
"58853","0"
"58854","1"
"58855","1"
"58856","0"
"58857","1"
"58858","0"
"58859","0"
"58860","0"
"58861","0"
"58862","0"
"58863","1"
"58864","0"
"58865","0"
"58866","0"
"58867","0"
"58868","0"
"58869","0"
"58870","0"
"58871","0"
"58872","0"
"58873","0"
"58874","1"
"58875","0"
"58876","0"
"58877","0"
"58878","0"
"58879","0"
"58880","0"
"58881","0"
"58882","0"
"58883","0"
